row_id,category,dt,dx,dy,dz,dt_abs,r,s2,interval_class,dt_dir,axis,r_mult,mean_l_AA,mean_l_AB,mean_l_BA,mean_l_BB,mean_gap_A,mean_gap_B,mean_p_A_B,mean_p_B_A,frac_AB_lt_AA,frac_BA_lt_BB,frac_AB_lt_0,frac_BA_lt_0
0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,simultaneous,,,-45.75153904838305,-45.751539048383066,-45.751539048383066,-45.751539048383066,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
1,space_only,0.0,-8.0,0.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,x,,-45.75153904838305,-45.74871792758068,-45.74851768370938,-45.751539048383066,0.002821120802362964,0.0030213646736805266,0.5007052795763105,0.5007553404412041,0.0,0.0,1.0,1.0
2,space_only,0.0,8.0,0.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,x,,-45.75153904838305,-45.74851768370938,-45.74871792758067,-45.751539048383066,0.003021364673680582,0.0028211208023635748,0.5007553404412041,0.5007052795763107,0.0,0.0,1.0,1.0
3,space_only,0.0,0.0,-8.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,y,,-45.75153904838305,-45.74863487768087,-45.74860325196194,-45.751539048383066,0.0029041707021492114,0.002935796421107306,0.5007260420262339,0.5007339484183737,0.0,0.0,1.0,1.0
4,space_only,0.0,0.0,8.0,0.0,0.0,8.0,-64.0,spacelike,simultaneous,y,,-45.75153904838305,-45.74860325196194,-45.74863487768087,-45.751539048383066,0.0029357964211065846,0.0029041707021496554,0.5007339484183735,0.5007260420262342,0.0,0.0,1.0,1.0
5,space_only,0.0,0.0,0.0,-8.0,0.0,8.0,-64.0,spacelike,simultaneous,z,,-45.75153904838305,-45.74873271520362,-45.748555893855574,-45.751539048383066,0.0028063331794183077,0.0029831545274807136,0.5007015826444913,0.5007457878608715,0.0,0.0,1.0,1.0
6,space_only,0.0,0.0,0.0,8.0,0.0,8.0,-64.0,spacelike,simultaneous,z,,-45.75153904838305,-45.748555893855574,-45.74873271520362,-45.751539048383066,0.0029831545274802695,0.0028063331794184743,0.5007457878608714,0.5007015826444915,0.0,0.0,1.0,1.0
7,space_only,0.0,-16.0,0.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,x,,-45.75153904838305,-45.74006430754443,-45.73966407553355,-45.751539048383066,0.011474740838610609,0.011874972849508392,0.5028686463796598,0.502968701158339,0.0,0.0,1.0,1.0
8,space_only,0.0,16.0,0.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,x,,-45.75153904838305,-45.73966407553355,-45.74006430754443,-45.751539048383066,0.01187497284950817,0.01147474083861072,0.5029687011583389,0.5028686463796598,0.0,0.0,1.0,1.0
9,space_only,0.0,0.0,-16.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,y,,-45.75153904838305,-45.7399009488437,-45.739837676940795,-45.751539048383066,0.011638099539363178,0.011701371442270347,0.5029094859601726,0.5029253028308599,0.0,0.0,1.0,1.0
10,space_only,0.0,0.0,16.0,0.0,0.0,16.0,-256.0,spacelike,simultaneous,y,,-45.75153904838305,-45.739837676940795,-45.7399009488437,-45.751539048383066,0.011701371442270125,0.011638099539363567,0.50292530283086,0.5029094859601729,0.0,0.0,1.0,1.0
11,space_only,0.0,0.0,0.0,-16.0,0.0,16.0,-256.0,spacelike,simultaneous,z,,-45.75153904838305,-45.74014670400865,-45.73979370424107,-45.751539048383066,0.011392344374410668,0.011745344141996406,0.5028480475161512,0.5029362936367583,0.0,0.0,1.0,1.0
12,space_only,0.0,0.0,0.0,16.0,0.0,16.0,-256.0,spacelike,simultaneous,z,,-45.75153904838305,-45.73979370424106,-45.74014670400865,-45.751539048383066,0.011745344141996406,0.011392344374411112,0.5029362936367581,0.5028480475161511,0.0,0.0,1.0,1.0
13,space_only,0.0,-32.0,0.0,0.0,0.0,32.0,-1024.0,spacelike,simultaneous,x,,-45.75153904838305,-45.70540028500786,-45.7046018615789,-45.751539048383066,0.04613876337519934,0.046937186804176134,0.5115322246048051,0.5117317285857889,0.0,0.0,1.0,1.0
14,space_only,0.0,32.0,0.0,0.0,0.0,32.0,-1024.0,spacelike,simultaneous,x,,-45.75153904838305,-45.7046018615789,-45.70540028500786,-45.751539048383066,0.046937186804176245,0.046138763375198844,0.5117317285857889,0.511532224604805,0.0,0.0,1.0,1.0
15,space_only,0.0,0.0,-32.0,0.0,0.0,32.0,-1024.0,spacelike,simultaneous,y,,-45.75153904838305,-45.705086261855286,-45.704959555290955,-45.751539048383066,0.04645278652775692,0.046579493092100244,0.5116107652633304,0.511642407586268,0.0,0.0,1.0,1.0
16,space_only,0.0,0.0,32.0,0.0,0.0,32.0,-1024.0,spacelike,simultaneous,y,,-45.75153904838305,-45.70495955529096,-45.705086261855286,-45.751539048383066,0.0465794930920998,0.046452786527757195,0.5116424075862679,0.5116107652633306,0.0,0.0,1.0,1.0
17,space_only,0.0,0.0,0.0,-32.0,0.0,32.0,-1024.0,spacelike,simultaneous,z,,-45.75153904838305,-45.705775830354995,-45.70507495902796,-45.751539048383066,0.04576321802803973,0.04646408935509977,0.5114383793282146,0.5116134771958868,0.0,0.0,1.0,1.0
18,space_only,0.0,0.0,0.0,32.0,0.0,32.0,-1024.0,spacelike,simultaneous,z,,-45.75153904838305,-45.70507495902796,-45.705775830354995,-45.751539048383066,0.04646408935509977,0.04576321802804012,0.511613477195887,0.5114383793282148,0.0,0.0,1.0,1.0
19,space_only,0.0,-64.0,0.0,0.0,0.0,64.0,-4096.0,spacelike,simultaneous,x,,-45.75153904838305,-45.56873696759433,-45.567156278589216,-45.751539048383066,0.1828020807887149,0.18438276979382034,0.5455491623272072,0.545941188459708,0.0,0.0,1.0,1.0
20,space_only,0.0,64.0,0.0,0.0,0.0,64.0,-4096.0,spacelike,simultaneous,x,,-45.75153904838305,-45.567156278589216,-45.56873696759433,-45.751539048383066,0.18438276979382018,0.1828020807887149,0.5459411884597078,0.5455491623272072,0.0,0.0,1.0,1.0
21,space_only,0.0,0.0,-64.0,0.0,0.0,64.0,-4096.0,spacelike,simultaneous,y,,-45.75153904838305,-45.5681826185125,-45.56792793379801,-45.751539048383066,0.1833564298705488,0.1836111145850226,0.5456909733575718,0.5457535955394395,0.0,0.0,1.0,1.0
22,space_only,0.0,0.0,64.0,0.0,0.0,64.0,-4096.0,spacelike,simultaneous,y,,-45.75153904838305,-45.56792793379801,-45.568182618512495,-45.751539048383066,0.183611114585022,0.18335642987054962,0.5457535955394393,0.545690973357572,0.0,0.0,1.0,1.0
23,space_only,0.0,0.0,0.0,-64.0,0.0,64.0,-4096.0,spacelike,simultaneous,z,,-45.75153904838305,-45.570328737391165,-45.568967536338235,-45.751539048383066,0.1812103109919015,0.1825715120448314,0.5451539966036547,0.5454907478299026,0.0,0.0,1.0,1.0
24,space_only,0.0,0.0,0.0,64.0,0.0,64.0,-4096.0,spacelike,simultaneous,z,,-45.75153904838305,-45.568967536338235,-45.570328737391165,-45.751539048383066,0.18257151204483096,0.18121031099190155,0.5454907478299025,0.5451539966036547,0.0,0.0,1.0,1.0
25,space_only,0.0,-128.0,0.0,0.0,0.0,128.0,-16384.0,spacelike,simultaneous,x,,-45.75153904838305,-45.05815382361562,-45.05511655136767,-45.75153904838306,0.6933852247674351,0.6964224970153967,0.6656516473824552,0.6663281332469211,0.0,0.0,1.0,1.0
26,space_only,0.0,128.0,0.0,0.0,0.0,128.0,-16384.0,spacelike,simultaneous,x,,-45.75153904838305,-45.05511655136767,-45.058153823615626,-45.751539048383066,0.6964224970153976,0.6933852247674354,0.6663281332469212,0.6656516473824551,0.0,0.0,1.0,1.0
27,space_only,0.0,0.0,-128.0,0.0,0.0,128.0,-16384.0,spacelike,simultaneous,y,,-45.75153904838305,-45.05765224947437,-45.057133647289795,-45.751539048383066,0.6938867989087036,0.6944054010932208,0.6659372698393012,0.6660412490914731,0.0,0.0,1.0,1.0
28,space_only,0.0,0.0,128.0,0.0,0.0,128.0,-16384.0,spacelike,simultaneous,y,,-45.75153904838305,-45.0571336472898,-45.05765224947437,-45.751539048383066,0.6944054010932204,0.6938867989087034,0.6660412490914729,0.6659372698393011,0.0,0.0,1.0,1.0
29,space_only,0.0,0.0,0.0,-128.0,0.0,128.0,-16384.0,spacelike,simultaneous,z,,-45.75153904838305,-45.06470865887576,-45.062295475543536,-45.751539048383066,0.6868303895072689,0.6892435728394936,0.6641629152043169,0.6646899849624271,0.0,0.0,1.0,1.0
30,space_only,0.0,0.0,0.0,128.0,0.0,128.0,-16384.0,spacelike,simultaneous,z,,-45.75153904838305,-45.062295475543536,-45.06470865887576,-45.751539048383066,0.689243572839494,0.6868303895072698,0.664689984962427,0.6641629152043168,0.0,0.0,1.0,1.0
31,space_only,0.0,-256.0,0.0,0.0,0.0,256.0,-65536.0,spacelike,simultaneous,x,,-45.75153904838305,-43.5193183971188,-43.51409315677838,-45.751539048383066,2.2322206512642624,2.2374458916046507,0.8947248094493772,0.8951977053443907,0.0,0.0,1.0,1.0
32,space_only,0.0,256.0,0.0,0.0,0.0,256.0,-65536.0,spacelike,simultaneous,x,,-45.75153904838305,-43.51409315677838,-43.5193183971188,-45.751539048383066,2.237445891604649,2.2322206512642624,0.8951977053443906,0.8947248094493772,0.0,0.0,1.0,1.0
33,space_only,0.0,0.0,-256.0,0.0,0.0,256.0,-65536.0,spacelike,simultaneous,y,,-45.75153904838305,-43.524417773513804,-43.52333255634836,-45.751539048383066,2.227121274869247,2.228206492034679,0.895052172311688,0.895124497152352,0.0,0.0,1.0,1.0
34,space_only,0.0,0.0,256.0,0.0,0.0,256.0,-65536.0,spacelike,simultaneous,y,,-45.75153904838305,-43.52333255634836,-43.524417773513804,-45.751539048383066,2.2282064920346785,2.227121274869247,0.8951244971523518,0.8950521723116878,0.0,0.0,1.0,1.0
35,space_only,0.0,0.0,0.0,-256.0,0.0,256.0,-65536.0,spacelike,simultaneous,z,,-45.75153904838305,-43.54613740444608,-43.543346438816016,-45.751539048383066,2.2054016439369772,2.208192609567034,0.8919357857243867,0.8922133846443591,0.0,0.0,1.0,1.0
36,space_only,0.0,0.0,0.0,256.0,0.0,256.0,-65536.0,spacelike,simultaneous,z,,-45.75153904838305,-43.543346438816016,-43.54613740444608,-45.751539048383066,2.2081926095670346,2.2054016439369772,0.8922133846443592,0.8919357857243867,0.0,0.0,1.0,1.0
37,time_only,-8.0,0.0,0.0,0.0,8.0,0.0,64.0,timelike,past,,,-45.75153904838305,-45.751445916346576,-45.751362266305335,-45.751539048383066,9.313203650546109e-05,0.00017678207773175192,0.5000232829887965,0.5000441955143754,0.4453125,0.4375,1.0,1.0
38,time_only,8.0,0.0,0.0,0.0,8.0,0.0,64.0,timelike,future,,,-45.75153904838305,-45.751362266305335,-45.751445916346576,-45.751539048383066,0.00017678207773130783,9.313203650490598e-05,0.5000441955143752,0.5000232829887964,0.4375,0.4453125,1.0,1.0
39,time_only,-16.0,0.0,0.0,0.0,16.0,0.0,256.0,timelike,past,,,-45.75153904838305,-45.751082650580976,-45.75091468608571,-45.751539048383066,0.0004563978020994397,0.0006243622973184371,0.5001140986476419,0.500156090545609,0.421875,0.4609375,1.0,1.0
40,time_only,16.0,0.0,0.0,0.0,16.0,0.0,256.0,timelike,future,,,-45.75153904838305,-45.75091468608571,-45.751082650580976,-45.751539048383066,0.0006243622973180485,0.00045639780209916214,0.5001560905456088,0.5001140986476418,0.4609375,0.421875,1.0,1.0
41,time_only,-32.0,0.0,0.0,0.0,32.0,0.0,1024.0,timelike,past,,,-45.75153904838305,-45.749539305969634,-45.749198044086604,-45.751539048383066,0.001999742413436034,0.002341004296433691,0.5004999015323917,0.500585244256733,0.421875,0.4453125,1.0,1.0
42,time_only,32.0,0.0,0.0,0.0,32.0,0.0,1024.0,timelike,future,,,-45.75153904838305,-45.749198044086604,-45.749539305969634,-45.751539048383066,0.0023410042964336353,0.0019997424134362007,0.5005852442567329,0.5004999015323919,0.4453125,0.421875,1.0,1.0
43,time_only,-64.0,0.0,0.0,0.0,64.0,0.0,4096.0,timelike,past,,,-45.75153904838305,-45.743077233390444,-45.742351479905984,-45.751539048383066,0.008461814992573424,0.009187568477066865,0.5021137414044845,0.5022960908477223,0.40625,0.4375,1.0,1.0
44,time_only,64.0,0.0,0.0,0.0,64.0,0.0,4096.0,timelike,future,,,-45.75153904838305,-45.742351479905984,-45.74307723339045,-45.751539048383066,0.009187568477066144,0.008461814992573036,0.5022960908477219,0.5021137414044844,0.4375,0.40625,1.0,1.0
45,time_only,-128.0,0.0,0.0,0.0,128.0,0.0,16384.0,timelike,past,,,-45.75153904838305,-45.71475521749232,-45.712939263302445,-45.751539048383066,0.036783830890730895,0.03859978508062806,0.5090888149257057,0.509570596787476,0.421875,0.4375,1.0,1.0
46,time_only,128.0,0.0,0.0,0.0,128.0,0.0,16384.0,timelike,future,,,-45.75153904838305,-45.712939263302445,-45.71475521749232,-45.751539048383066,0.038599785080628,0.03678383089073034,0.5095705967874762,0.5090888149257055,0.4375,0.421875,1.0,1.0
47,time_only,-256.0,0.0,0.0,0.0,256.0,0.0,65536.0,timelike,past,,,-45.75153904838305,-45.55879458183261,-45.551586318291605,-45.751539048383066,0.19274446655043592,0.19995273009145814,0.5390481613013776,0.5403508852669928,0.4296875,0.4453125,1.0,1.0
48,time_only,256.0,0.0,0.0,0.0,256.0,0.0,65536.0,timelike,future,,,-45.75153904838305,-45.55158631829161,-45.558794581832615,-45.75153904838306,0.19995273009145687,0.19274446655043664,0.5403508852669924,0.5390481613013774,0.4453125,0.4296875,1.0,1.0
49,mixed,-64.0,32.0,0.0,0.0,64.0,32.0,3072.0,timelike,past,x,0.5,-45.75153904838305,-45.696140046586315,-45.69621271653079,-45.751539048383066,0.0553990017967495,0.05532633185226582,0.5138249641098893,0.5138073188613843,0.265625,0.2734375,1.0,1.0
